Year,Quarter,Month,Day,Month,Period,Qtr,QtrID,Year,YearPeriod,Year,Qtr,Month
2008,Qtr 1,January,1,Jan,01,Q1,20081,2008,200801,2008,Q1,Jan
2008,Qtr 1,February,1,Feb,02,Q1,20081,2008,200802,2008,Q1,Feb
2008,Qtr 1,March,1,Mar,03,Q1,20081,2008,200803,2008,Q1,Mar
2008,Qtr 2,April,1,Apr,04,Q2,20082,2008,200804,2008,Q2,Apr
2008,Qtr 2,May,1,May,05,Q2,20082,2008,200805,2008,Q2,May
2008,Qtr 2,June,1,Jun,06,Q2,20082,2008,200806,2008,Q2,Jun
2008,Qtr 3,July,1,Jul,07,Q3,20083,2008,200807,2008,Q3,Jul
2008,Qtr 3,August,1,Aug,08,Q3,20083,2008,200808,2008,Q3,Aug
2008,Qtr 3,September,1,Sep,09,Q3,20083,2008,200809,2008,Q3,Sep
2008,Qtr 4,October,1,Oct,10,Q4,20084,2008,200810,2008,Q4,Oct
2008,Qtr 4,November,1,Nov,11,Q4,20084,2008,200811,2008,Q4,Nov
2008,Qtr 4,December,1,Dec,12,Q4,20084,2008,200812,2008,Q4,Dec
2009,Qtr 1,January,1,Jan,01,Q1,20091,2009,200901,2009,Q1,Jan
2009,Qtr 1,February,1,Feb,02,Q1,20091,2009,200902,2009,Q1,Feb
2009,Qtr 1,March,1,Mar,03,Q1,20091,2009,200903,2009,Q1,Mar
2009,Qtr 2,April,1,Apr,04,Q2,20092,2009,200904,2009,Q2,Apr
2009,Qtr 2,May,1,May,05,Q2,20092,2009,200905,2009,Q2,May
2009,Qtr 2,June,1,Jun,06,Q2,20092,2009,200906,2009,Q2,Jun
2009,Qtr 3,July,1,Jul,07,Q3,20093,2009,200907,2009,Q3,Jul
2009,Qtr 3,August,1,Aug,08,Q3,20093,2009,200908,2009,Q3,Aug
2009,Qtr 3,September,1,Sep,09,Q3,20093,2009,200909,2009,Q3,Sep
2009,Qtr 4,October,1,Oct,10,Q4,20094,2009,200910,2009,Q4,Oct
2009,Qtr 4,November,1,Nov,11,Q4,20094,2009,200911,2009,Q4,Nov
2009,Qtr 4,December,1,Dec,12,Q4,20094,2009,200912,2009,Q4,Dec
2010,Qtr 1,January,1,Jan,01,Q1,20101,2010,201001,2010,Q1,Jan
2010,Qtr 1,February,1,Feb,02,Q1,20101,2010,201002,2010,Q1,Feb
2010,Qtr 1,March,1,Mar,03,Q1,20101,2010,201003,2010,Q1,Mar
2010,Qtr 2,April,1,Apr,04,Q2,20102,2010,201004,2010,Q2,Apr
2010,Qtr 2,May,1,May,05,Q2,20102,2010,201005,2010,Q2,May
2010,Qtr 2,June,1,Jun,06,Q2,20102,2010,201006,2010,Q2,Jun
2010,Qtr 3,July,1,Jul,07,Q3,20103,2010,201007,2010,Q3,Jul
2010,Qtr 3,August,1,Aug,08,Q3,20103,2010,201008,2010,Q3,Aug
2010,Qtr 3,September,1,Sep,09,Q3,20103,2010,201009,2010,Q3,Sep
2010,Qtr 4,October,1,Oct,10,Q4,20104,2010,201010,2010,Q4,Oct
2010,Qtr 4,November,1,Nov,11,Q4,20104,2010,201011,2010,Q4,Nov
2010,Qtr 4,December,1,Dec,12,Q4,20104,2010,201012,2010,Q4,Dec
2011,Qtr 1,January,1,Jan,01,Q1,20111,2011,201101,2011,Q1,Jan
2011,Qtr 1,February,1,Feb,02,Q1,20111,2011,201102,2011,Q1,Feb
2011,Qtr 1,March,1,Mar,03,Q1,20111,2011,201103,2011,Q1,Mar
2011,Qtr 2,April,1,Apr,04,Q2,20112,2011,201104,2011,Q2,Apr
2011,Qtr 2,May,1,May,05,Q2,20112,2011,201105,2011,Q2,May
2011,Qtr 2,June,1,Jun,06,Q2,20112,2011,201106,2011,Q2,Jun
2011,Qtr 3,July,1,Jul,07,Q3,20113,2011,201107,2011,Q3,Jul
2011,Qtr 3,August,1,Aug,08,Q3,20113,2011,201108,2011,Q3,Aug
2011,Qtr 3,September,1,Sep,09,Q3,20113,2011,201109,2011,Q3,Sep
2011,Qtr 4,October,1,Oct,10,Q4,20114,2011,201110,2011,Q4,Oct
2011,Qtr 4,November,1,Nov,11,Q4,20114,2011,201111,2011,Q4,Nov
2011,Qtr 4,December,1,Dec,12,Q4,20114,2011,201112,2011,Q4,Dec
2012,Qtr 1,January,1,Jan,01,Q1,20121,2012,201201,2012,Q1,Jan
2012,Qtr 1,February,1,Feb,02,Q1,20121,2012,201202,2012,Q1,Feb
2012,Qtr 1,March,1,Mar,03,Q1,20121,2012,201203,2012,Q1,Mar
2012,Qtr 2,April,1,Apr,04,Q2,20122,2012,201204,2012,Q2,Apr
2012,Qtr 2,May,1,May,05,Q2,20122,2012,201205,2012,Q2,May
2012,Qtr 2,June,1,Jun,06,Q2,20122,2012,201206,2012,Q2,Jun
2012,Qtr 3,July,1,Jul,07,Q3,20123,2012,201207,2012,Q3,Jul
2012,Qtr 3,August,1,Aug,08,Q3,20123,2012,201208,2012,Q3,Aug
2012,Qtr 3,September,1,Sep,09,Q3,20123,2012,201209,2012,Q3,Sep
2012,Qtr 4,October,1,Oct,10,Q4,20124,2012,201210,2012,Q4,Oct
2012,Qtr 4,November,1,Nov,11,Q4,20124,2012,201211,2012,Q4,Nov
2012,Qtr 4,December,1,Dec,12,Q4,20124,2012,201212,2012,Q4,Dec
2013,Qtr 1,January,1,Jan,01,Q1,20131,2013,201301,2013,Q1,Jan
2013,Qtr 1,February,1,Feb,02,Q1,20131,2013,201302,2013,Q1,Feb
2013,Qtr 1,March,1,Mar,03,Q1,20131,2013,201303,2013,Q1,Mar
2013,Qtr 2,April,1,Apr,04,Q2,20132,2013,201304,2013,Q2,Apr
2013,Qtr 2,May,1,May,05,Q2,20132,2013,201305,2013,Q2,May
2013,Qtr 2,June,1,Jun,06,Q2,20132,2013,201306,2013,Q2,Jun
2013,Qtr 3,July,1,Jul,07,Q3,20133,2013,201307,2013,Q3,Jul
2013,Qtr 3,August,1,Aug,08,Q3,20133,2013,201308,2013,Q3,Aug
2013,Qtr 3,September,1,Sep,09,Q3,20133,2013,201309,2013,Q3,Sep
2013,Qtr 4,October,1,Oct,10,Q4,20134,2013,201310,2013,Q4,Oct
2013,Qtr 4,November,1,Nov,11,Q4,20134,2013,201311,2013,Q4,Nov
2013,Qtr 4,December,1,Dec,12,Q4,20134,2013,201312,2013,Q4,Dec
2014,Qtr 1,January,1,Jan,01,Q1,20141,2014,201401,2014,Q1,Jan
2014,Qtr 1,February,1,Feb,02,Q1,20141,2014,201402,2014,Q1,Feb
2014,Qtr 1,March,1,Mar,03,Q1,20141,2014,201403,2014,Q1,Mar
2014,Qtr 2,April,1,Apr,04,Q2,20142,2014,201404,2014,Q2,Apr
2014,Qtr 2,May,1,May,05,Q2,20142,2014,201405,2014,Q2,May
2014,Qtr 2,June,1,Jun,06,Q2,20142,2014,201406,2014,Q2,Jun
2014,Qtr 3,July,1,Jul,07,Q3,20143,2014,201407,2014,Q3,Jul
2014,Qtr 3,August,1,Aug,08,Q3,20143,2014,201408,2014,Q3,Aug
2014,Qtr 3,September,1,Sep,09,Q3,20143,2014,201409,2014,Q3,Sep
2014,Qtr 4,October,1,Oct,10,Q4,20144,2014,201410,2014,Q4,Oct
2014,Qtr 4,November,1,Nov,11,Q4,20144,2014,201411,2014,Q4,Nov
2014,Qtr 4,December,1,Dec,12,Q4,20144,2014,201412,2014,Q4,Dec
