Region,State,StateCode
CENTRAL,COLORADO,CO
CENTRAL,INDIANA,IN
CENTRAL,KANSAS,KS
CENTRAL,MONTANA,MT
CENTRAL,NEBRASKA,NE
EAST,ALABAMA,AL
EAST,ARKANSAS,AR
EAST,CONNECTICUT,CT
EAST,DELWARE,DE
EAST,DISTRICT OF COLUMBIA,DC
EAST,FLORIDA,FL
EAST,GEORGIA,GA
EAST,KENTUCKY,KY
EAST,MAINE,ME
EAST,MARYLAND,MD
EAST,MASSACHUSETTS,MA
EAST,NEW HAMPSHIRE,NH
EAST,NEW JERSEY,NJ
EAST,NEW YORK,NY
EAST,NORTH CAROLINA,NC
EAST,PENNSYLVANIA,PA
EAST,RHODE ISLAND,RI
EAST,SOUTH CAROLINA,SC
EAST,TENNESSEE,TN
EAST,VERMONT,VT
EAST,VIRGINIA,VA
EAST,WEST VIRGINIA,WV
NORTH,ILLINOIS,IL
NORTH,IOWA,IA
NORTH,MICHIGAN,MI
NORTH,MISSISSIPPI,MS
NORTH,MISSOURI,MO
NORTH,NEVADA,NV
NORTH,NORTH DAKOTA,ND
NORTH,OHIO,OH
NORTH,SOUTH DAKOTA,SD
NORTH,WISCONSIN,WI
SOUTH,LOUISIANA,LA
SOUTH,NEW MEXICO,NM
SOUTH,OKLAHOMA,OK
SOUTH,TEXAS,TX
WEST,ALASKA,AK
WEST,ARIZONA,AZ
WEST,CALIFORNIA,CA
WEST,HAWAII,HI
WEST,IDAHO,ID
WEST,MINNESOTA,MN
WEST,OREGON,OR
WEST,UTAH,UT
WEST,WASHINGTON,WA
WEST,WYOMING,WY
